date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:51	29963/29963	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:49:48%20GMT	http://ecd-sartrouville.fr/20170422_142330	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_142330.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:50:12	540201/540201	---M--	200	added ('OK')	image/jpeg	etag:%2283e29-55057ac33b540%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142348.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142348.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:50:13	29956/29956	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:50:11%20GMT	http://ecd-sartrouville.fr/20170422_142329	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_142329.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:50:32	492846/492846	---M--	200	added ('OK')	image/jpeg	etag:%227852e-55057acadc740%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_1423300.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_1423300.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:50:34	29963/29963	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:50:31%20GMT	http://ecd-sartrouville.fr/20170422_142319	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_142319.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:51:05	487423/487423	---M--	200	added ('OK')	image/jpeg	etag:%2276fff-55057ad189700%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142330.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142330.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:51:07	29963/29963	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:51:04%20GMT	http://ecd-sartrouville.fr/20170422_142317	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_142317.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:51:10	490176/490176	---M--	200	added ('OK')	image/jpeg	etag:%2277ac0-55057ad8366c0%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142329.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142329.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:51:13	29963/29963	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:51:09%20GMT	http://ecd-sartrouville.fr/20170422_142224	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_142224.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:51:38	532584/532584	---M--	200	added ('OK')	image/jpeg	etag:%2282068-55057addef440%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142319.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142319.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:51:40	29956/29956	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:51:37%20GMT	http://ecd-sartrouville.fr/20170422_141735	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_141735.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:51:49	267056/267056	---M--	200	added ('OK')	image/jpeg	etag:%2241330-55057ae960f40%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142224.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142224.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:51:51	29963/29963	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:51:48%20GMT	http://ecd-sartrouville.fr/20170422_141628	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_141628.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:51:56	516988/516988	---M--	200	added ('OK')	image/jpeg	etag:%227e37c-55057ae3a81c0%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142317.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_142317.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:51:57	29963/29963	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:51:55%20GMT	http://ecd-sartrouville.fr/20170422_141621	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_141621.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:52:17	30007/30007	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:52:15%20GMT	http://ecd-sartrouville.fr/20170422_1416200	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_1416200.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:52:59	493243/493243	---M--	200	added ('OK')	image/jpeg	etag:%22786bb-55057af5c6c80%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_141628.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_141628.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:53:01	29963/29963	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:52:59%20GMT	http://ecd-sartrouville.fr/20170422_141620	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_141620.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:53:11	491792/491792	---M--	200	added ('OK')	image/jpeg	etag:%2278110-55057afb7fa00%22	http://ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_141621.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2017/05/20170422_141621.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
15:53:13	29956/29956	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2013:53:10%20GMT	http://ecd-sartrouville.fr/20170422_135043	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/20170422_135043.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
